Genre,ResolvedTrackCount,TSOccurrenceCount,ArtistOccurrenceCount
groove metal,163,57,221
gothic rock,163,4,299
hungarian,163,0,519
hungary,163,0,519
magyar,163,0,519
parolier,163,0,320
hard alternative,163,0,208
dakke dak,162,162,0
finnish drill,162,162,0
electric blues,162,26,276
skate punk,162,12,315
latvian hip hop,161,161,0
spanish pop rock,161,161,0
brega funk,161,104,343
italo dance,161,93,383
boogie,160,1,218
scotland,160,0,241
latin talent show,159,159,0
multiple ipi,159,0,313
doom metal,158,14,258
synth funk,158,7,383
germany,158,0,708
the lost generation,158,0,361
canadian trap,157,157,0
uk grime,157,30,829
video game,157,0,423
anime rock,156,156,0
italian underground hip hop,156,156,0
dub,155,4,282
space rock,155,2,270
old school rap francais,154,154,0
post-bop,154,0,649
singers,154,0,422
pakistani hip hop,153,153,0
pop flamenco,153,153,0
slovak trap,153,153,0
chinese hip hop,153,115,409
russian dance,152,152,0
nova mpb,152,109,183
crunk,152,92,201
progressive metal,152,58,329
stoner rock,152,16,321
luk thung,151,72,300
thrash metal,151,40,242
glitch,151,0,372
mellow gold,150,147,7
taiwanese indie,150,111,547
basshall,149,149,0
singaporean pop,149,149,0
australian dance,149,148,21
travis scott,149,0,197
reggea,149,0,196
mambo chileno,148,148,0
russian grime,148,148,0
g-house,148,66,146
symphonic metal,148,62,247
game,148,0,361
folk-rock,148,0,220
seresta,147,75,267
german audiobook reader,147,0,324
guitarist,147,0,279
singaporean mandopop,146,146,0
popular colombian music,146,105,268
samba,146,59,364
glam,146,0,359
kosovan pop,145,145,0
hair metal,145,0,207
atl trap,144,144,0
funk ostentacao,144,138,45
flamenco pop,144,25,695
german dance,143,143,3
stomp and holler,143,103,83
chicago house,143,12,183
mbs-333,143,0,393
australia,143,0,281
liverpool,143,0,219
mainland chinese pop,142,142,0
dream-pop,142,0,216
psychedelic folk,141,1,366
future rave,141,0,252
los angeles,141,0,210
trap antillais,140,140,0
gnawa,140,24,205
noise music,140,11,366
soundtracks,140,0,338
vietnamese singer-songwriter,139,139,0
jazz fusion,139,3,528
australian,139,0,326
classical pop,139,0,232
psychedelia,139,0,197
progressive,138,0,394
pop edm,137,137,0
ghazal,137,33,231
video game music,137,16,240
pop reggae,137,0,260
drill italiana,136,136,0
nz pop,136,136,0
complextro,136,52,258
chicago drill,136,45,154
has german audio plays,136,0,303
classic italian pop,135,135,0
irish pop,135,135,0
romanian rap,135,135,0
swedish reggae,135,135,0
taiwan hip hop,135,135,0
thai indie rock,135,133,53
jangle pop,135,9,204
indian,135,0,578
beat,135,0,191
slowcore,134,5,254
death by heart attack,134,0,528
hip pop,133,133,0
israeli rock,133,133,0
pakistani pop,133,117,92
brooklyn drill,133,92,150
visual kei,133,38,202
outlaw country,133,19,187
belgian edm,132,132,0
trap maroc,132,132,0
