Genre,TrackCount
"conscious hip hop, hip hop, rap, west coast rap",54
"reggaeton chileno, urbano chileno",54
"modern alternative rock, modern rock, pop, pov: indie, rock",54
vallenato,54
"finnish dance pop, finnish hip hop, finnish pop, iskelma",54
"dutch pop, dutch rock",54
"swedish drill, swedish hip hop, swedish reggae, swedish trap, swedish trap pop",54
"czech hip hop, czech pop, czsk hip hop",54
"latin arena pop, latin pop, spanish pop",54
"arabic hip hop, north moroccan rap, rap maroc",54
"turkish hip hop, drill",54
"dembow, trap latino",54
"rap ivoire, coupe decale",54
"corrido, corridos tumbados, sad sierreno, sierreno",53
urbano latino,53
"modern rock, pop, rock",53
australian hip hop,53
"polish pop, talent show",53
"t-pop, thai hip hop",53
"french hip hop, old school rap francais, rap conscient",53
"dutch hip hop, dutch pop",53
"hip hop tuga, rap criolo",53
n,53
a,53
"edm, progressive house, electronica",53
"corrido, corridos tumbados, corridos belicos, sierreno, musica mexicana, banda, sad sierreno, electro corridos",53
"flamenco urbano, urbano espanol",52
cumbia chilena,52
"greek drill, greek hip hop",52
viral pop,51
australian pop,51
turkce drill,51
melodic rap,51
"latin pop, modern salsa, salsa, tropical",51
chinese viral pop,51
"panamanian pop, reggaeton, urbano latino",51
"colombian pop, vallenato, vallenato moderno",51
"israeli hip hop, israeli pop",51
"norwegian indie, norwegian pop",51
"classic pakistani pop, filmi, modern bollywood, sufi",51
"reggaeton, colombian pop, pop urbano",51
"v-pop, vietnam indie, vietnamese hip hop, vinahouse",51
rap uruguayo,50
"pop, r&b, rap",50
turkish trap pop,50
"german hip hop, german r&b",50
"anime, anime rock, j-pop",50
"trap boricua, trap latino, urbano latino",50
"belgian hip hop, french hip hop",50
disco,50
"pop, r&b en espanol",50
"finnish dance pop, finnish pop, iskelma",50
"moroccan pop, rif",50
thai hip hop,50
"punjabi pop, punjabi hip hop, bhangra, desi hip hop, desi",50
"trap latino, reggaeton, urbano latino, trap",50
"corridos tumbados, corrido, corridos belicos, sad sierreno, sierreno, musica mexicana, banda",50
"cumbia, mambo",50
"rap ivoire, coupe decale, asakaa, french rap",50
"permanent wave, pop",49
"r&b en espanol, spanish hip hop, trap latino, urbano espanol, urbano latino",49
"dutch edm, edm, pop, pop dance, progressive house",49
cumbia 420,49
"pop, r&b",49
"hip hop, philly rap, pop rap, rap, southern hip hop, trap",49
"russian gangster rap, russian hip hop",49
"finnish hip hop, suomirap",49
"classic swedish pop, gothenburg indie, swedish indie rock, swedish pop",49
khaliji,49
"classic iskelma, finnish pop, iskelma, suomi rock",49
"afrobeats, afropop, azontobeats, nigerian pop",49
rai,49
romanian rap,49
"cuarteto, cumbia",49
"punjabi hip hop, punjabi pop, desi, bhangra, desi hip hop",49
"cumbia, cuarteto, rkt, turreo",49
"brostep, edm, pop, progressive electro house",48
"pop, scandipop, swedish electropop, swedish pop",48
emo rap,48
"bulgarian pop, bulgarian trap, chalga",48
"belarusian hip hop, russian hip hop",48
italian adult pop,48
"v-pop, vietnamese hip hop, vietnam indie",48
"latin house, afro house, techengue",48
"cumbia, cumbia sonidera",48
"cumbia, ska",48
rkt,47
flamenco urbano,47
"chinese singer-songwriter, mainland chinese pop, mandopop",47
"v-pop, vietnamese idol pop",47
"czech pop, czsk emo rap, czsk hip hop",47
"arabic hip hop, moroccan pop, rap maroc",47
"canadian pop, pop",46
"adult standards, easy listening, lounge",46
"brooklyn drill, rap",46
"afrobeats, azontobeats, dancehall, nigerian hip hop, nigerian pop",46
"cantautor, latin arena pop, latin pop",46
plena uruguaya,46
"italian adult pop, italian pop, italian reggae",46
"afrobeats, afropop, nigerian hip hop, nigerian pop",46
concerto,46
"italian trap, trap",46
pov: indie,45
"funk carioca, pop nacional",45
desi pop,45
"dutch house, edm, electro house, pop dance, progressive electro house, slap house",45
"cuarteto, cumbia, argentine trap",45
"italian hip hop, trap metal italiana",45
"ohio hip hop, pop rap",45
"birmingham grime, grime, instrumental grime, uk hip hop",45
"german alternative rap, german hip hop",45
"social media pop, uk hip hop",45
"italian hip hop, rap napoletano",45
belgian pop,45
"czech pop, czech pop rock",45
"belarusian hip hop, russian alt pop, russian hip hop",45
"turkish alt pop, turkish pop, turkish rock",45
"arabic hip hop, rap maroc, trap maroc",45
"norwegian pop, norwegian pop rap",45
"pagode, samba",45
"australian dance, australian pop, pop",44
"filmi, modern bollywood, punjabi pop",44
"art pop, dance pop, pop",44
"chicago rap, hip hop, rap",44
"dembow, dembow dominicano, rap dominicano, trap latino",44
"polish viral pop, polish viral rap",44
pop nacional,44
"russian emo rap, russian grime, russian hip hop",44
afrikaans,44
"russian grime, russian hip hop, russian trap",44
"moldovan pop, romanian pop",44
"east coast hip hop, hip hop, rap, trap",43
pop soul,43
"canadian pop, pop, viral pop",43
new school turkce rap,43
"argentine telepop, pop argentino",43
"russian dance, russian pop",43
"mandopop, taiwan indie",43
"german hip hop, german underground rap",43
"central asian hip hop, kazakh hip hop, russian hip hop, russian trap",43
kazakh viral pop,43
"swedish gangsta rap, swedish hip hop, swedish reggae, swedish trap pop",43
"christmas, adult standards",43
"corrido, corridos tumbados, corridos belicos, electro corridos, dembow belico, sad sierreno, sierreno",43
"dance pop, pop, uk pop",42
"corridos tumbados, sad sierreno",42
"electro house, pop nacional, slap house",42
"hip hop, new orleans rap, pop rap, rap, trap",42
"funk carioca, funk pop, funk rj, pagode baiano, pop nacional",42
sped up,42
drill francais,42
canadian hip hop,42
"rap underground espanol, spanish hip hop, urbano espanol",42
"albanian hip hop, german drill, german hip hop",42
"dutch house, edm, electro house, pop dance",42
"norwegian pop, talentkonkurranse",42
"icelandic hip hop, icelandic indie, icelandic pop",42
"finnish dance pop, finnish hip hop, finnish pop, iskelma, suomi rock",42
"drill italiana, italian hip hop, trap italiana",42
sheilat,42
"sertanejo, sertanejo universitario, arrocha, agronejo",42
"french rap, french r&b, pop urbaine",42
"reggaeton mexa, reggaeton",42
"contemporary country, country, country road",41
techengue,41
"polish hip hop, polish trap, rap motywacja",41
dominican pop,41
"manele, romanian pop",41
egyptian trap,41
"reggaeton chileno, chilean trap, chilean mambo, mambo",41
"desi, indian indie",41
"portuguese hip hop, kizomba",41
"corridos tumbados, corrido, corridos belicos, sierreno, sad sierreno, electro corridos, musica mexicana, banda",41
"dance pop, pop, urban contemporary",40
alt z,40
"corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno",40
latin alternative,40
"beatlesque, britpop, madchester, permanent wave, rock",40
"atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap",40
"cologne indie, german singer-songwriter",40
hypertechno,40
"italian adult pop, italian hip hop, italian pop, pop virale italiano, rap napoletano",40
"agronejo, sertanejo, sertanejo pop, sertanejo universitario",40
chinese r&b,40
"norwegian pop, russelater",40
egyptian pop,40
israeli hip hop,40
kazakh pop,40
"fotbollslatar, russelater",40
"reggaeton, latin, urbano latino, bachata",40
"indonesian jazz, indonesian pop, indonesian singer-songwriter",39
"trap argentino, trap latino, urbano latino",39
"folk-pop, irish pop, uk pop",39
"reggaeton, reggaeton flow, urbano latino",39
"electropop, etherpop, indie poptimism, pop",39
"latin pop, latin viral pop, pop argentino",39
"reggaeton flow, trap latino, urbano latino",39
"albanian hip hop, albanian pop, kosovan pop",39
"dance pop, funk carioca, funk pop, pop lgbtq+ brasileira, pop nacional",39
"bulgarian pop, bulgarian trap",39
"classic swedish pop, swedish idol pop, swedish pop",39
"c-pop, cantopop",39
"afrobeats, nigerian hip hop, nigerian pop",39
"paraguayan rock, pop paraguayo",39
"arabesk, turkish pop",39
"reggaeton, popular colombian music, trap latino",39
"french rap, french r&b",39
"finnish pop, finnish hip hop",39
"cantopop, c-pop, mandopop",39
"salsa, merengue",39
bedroom pop,38
"k-pop, pop",38
"chicago rap, rap",38
"t-pop, thai indie rock",38
eurodance,38
"cloud rap francais, french hip hop, pop urbaine",38
"frauenrap, german hip hop, kosovan pop, romanian pop",38
"estonian pop, estonian rock",38
"arab pop, lebanese pop",38
hyperpop,38
kizomba,38
"house, tech house",38
drill,38
"v-pop, vietnamese hip hop, vietnam indie, vinahouse",38
punjabi hip hop,37
