Genres,GenreCount,TrackCount
"french hip hop, pop urbaine, r&b francais, rap francais, rap marseille",1,75
"afrobeats, afropop, nigerian pop",1,75
"trap latino, reggaeton",1,75
"afrobeats, afropop, azonto, nigerian hip hop, nigerian pop",1,74
"k-rap, korean r&b",1,74
"israeli mediterranean, israeli pop, mizrahi, persian pop",1,74
"deep german hip hop, german hip hop, hamburg hip hop",1,74
filmi,1,74
"mandopop, taiwan hip hop",1,74
"reggaeton chileno, chilean trap",1,74
"brass band, banda",1,74
"danish pop, scandipop",1,73
"funk pop, funk rj, pagode baiano, pop, pop nacional",1,73
"german alternative rap, german drill, german hip hop",1,73
"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino",1,73
"dance pop, edm, pop, pop dance",1,73
"2010s, 2020s, amazing, awful, black metal, christmas music, contemporary r&b, dance-pop, electropop, english, gay, hip hop, pop, reggea, teen pop, terrible, tropical house",1,73
"hungarian, hungary, magyar",1,73
"portuguese hip hop, kizomba",1,73
"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino",1,72
"big room, dance pop, edm, pop, pop dance",1,72
"contemporary country, country, country road, modern country rock",1,72
"k-pop, k-rap",1,72
"spanish pop, spanish pop rock",1,72
polish viral pop,1,72
"belgian hip hop, cloud rap francais, french hip hop, pop urbaine, rap belge",1,72
"greek hip hop, greek underground rap",1,72
"afro soul, south african pop",1,72
"afrobeat, afrobeats, french r&b, pop urbaine, rumba congolaise, soukous",1,72
"alternative rock, ambient pop, art pop, big music, britannique, british, britpop, chapel, dream pop, english, indie pop, indie rock, parlophone, piano pop, piano rock, pop, pop rock, pop | rock, post-britpop, rock, rock and indie, uk",2,71
"american, americain, blues, boogie, chanteur, classic pop and rock, composer, compositeur, contemporary r&b, contemporary rnb, cool, cultural icon, dance-pop, death by drug overdose, disco, folk pop, funk, hip hop, lyricist, michael-jackson, motown, new jack swing, parolier, pop, pop rap, pop rock, pop soul, post-disco, r&b, rhythm and blues, rnb, rock, singer, soul, united states, usa",1,71
flamenco urbano,1,71
"reggaeton, latin, urbano latino",1,71
irish pop,1,71
"cloud rap francais, french hip hop, pop urbaine, rap conscient, rap francais",1,71
"soundtrack, classical, special purpose artist, fixme, ambient, bogus artist, software company as artist, meta artist, cotm, death metal, black metal, british, uk, composer, traditional, pop and chart, easy listening soundtracks and musicals, unknown, relaxation, bogus, fixme-probably not a real artist, 1 10 188043 183 17153 34783 54830 72970 97673 116825 128263 157073 171433, merge me, bing crosby fank sinatra louis armstorng nat king cole doris day, nursery rhymes, merge, rhymes, mergeme, stop merging crap so my tags get fucked up, fix, nursery rhymes collection, kids hut, kids songs, nursery rhymes playlist, wheels on the bus, johny johny yes papa, cleanup, fix tags, has german audiobooks, dumping ground, dont rate the [unknown] artist, lazy asses, fixme or cleanup, merge into [anonymous] or [traditional], fixme [spa] mess, spamess, test merging tags test, merge all the unrighteous fellows are all unpardonable!, special purpose",1,71
"dansk pop, dansktop",1,71
"pop, post-teen pop",1,70
"pop reggaeton, reggaeton, trap latino, urbano latino",1,70
"frauenrap, german hip hop",1,70
"swedish drill, swedish hip hop, swedish trap pop",1,70
albanian pop,1,70
"italian hip hop, rap siciliano, trap italiana",1,70
"dancehall, soca, riddim, reggae",1,70
"conscious hip hop, hip hop, north carolina hip hop, rap",1,69
argentine trap,1,69
"italian adult pop, italian pop, rome indie",1,69
"kizomba, zouk",1,69
haryanvi pop,1,69
pop argentino,1,68
"1992-1998, alternative, alternative rock, ambient pop, art pop, art rock, bootleg, britannique, british, britpop, britrock, chamber pop, crossover prog, c’etait mieux avant, electronic, electronic rock, england, english, experimental rock, grunge, idm, indie rock, indietronica, lolicore, melancholic, new grave, nude, oxford, parlophone, post-britpop, post-grunge, post-rock, rock, rock and indie, sacred cows, trap edm, uk",1,68
r&b francais,1,68
egyptian pop,1,68
"c-pop, cantopop, mandopop",1,68
"boom bap, chillwave, downtempo, hip hop, instrumental, instrumental hip hop, lo-fi, lo-fi hip hop",1,68
"dembow, urbano latino, latin",1,68
"rap ivoire, coupe decale",1,68
"canadian contemporary r&b, canadian pop, pop",1,67
"boy band, dance-pop, folk pop, pop, pop rock, power pop, teen pop",1,67
"afroswing, grime, uk hip hop",1,67
"latin alternative, reggae uruguayo, rock en espanol, rock uruguayo",1,67
traditional music,1,67
"arabesk, turkish pop",1,67
"boy band, boy group, boysband, k-pop, pop",1,66
"reggaeton, trap colombiano, trap latino, urbano latino",1,66
"turkce drill, turkish hip hop",1,66
"desi hip hop, punjabi pop",1,66
"amapiano, barcadi",1,66
"french pop, rap conscient",1,66
"hungarian pop, magyar trap",1,66
"russian drain, russian hip hop, russian trap",1,66
hungarian hip hop,1,66
"latin hip hop, rap boricua, reggaeton, trap latino, urbano latino",1,65
uk pop,1,65
"malaysian mandopop, mandopop",1,65
"deep german hip hop, german hip hop",1,65
"arab pop, belly dance, egyptian pop, persian pop, rif",1,65
