Genre,TrackCount,PrimaryFamily,PrimaryWeight,PrimaryConfidence,Reason
indie viet,241,,0.0,,no_primary_family
khaliji,241,middle_eastern,0.45,fallback,untrusted_fallback
ndombolo,239,african,0.45,fallback,untrusted_fallback
chicha,238,latin_tropical,0.45,fallback,untrusted_fallback
scandipop,236,pop,0.45,fallback,untrusted_fallback
rage,235,hip_hop,0.45,fallback,untrusted_fallback
moroccan chaabi,231,,0.0,,no_primary_family
score,228,,0.0,,no_primary_family
beat music,227,,0.0,,no_primary_family
indonesian indie,225,,0.0,,no_primary_family
pinoy r&b,225,rnb_soul,0.45,fallback,untrusted_fallback
funk mtg,224,brazilian,0.45,fallback,untrusted_fallback
pop reggaeton,223,caribbean,0.45,fallback,untrusted_fallback
chinese indie,222,,0.0,,no_primary_family
dangdut,222,,0.0,,no_primary_family
mpb,222,brazilian,0.45,fallback,untrusted_fallback
funk paulista,217,brazilian,0.45,fallback,untrusted_fallback
trap tuga,216,hip_hop,0.45,fallback,untrusted_fallback
doom,215,metal,0.45,fallback,untrusted_fallback
alternative country,213,country_folk,0.45,fallback,untrusted_fallback
k-ballad,212,pop,0.45,fallback,untrusted_fallback
korean r&b,212,rnb_soul,0.45,fallback,untrusted_fallback
rap latina,209,hip_hop,0.45,fallback,untrusted_fallback
milan indie,205,,0.0,,no_primary_family
post-hardcore,205,metal,0.45,fallback,untrusted_fallback
arabic,203,middle_eastern,0.45,fallback,untrusted_fallback
british invasion,203,,0.0,,no_primary_family
country road,203,country_folk,0.45,fallback,untrusted_fallback
electrocumbia,203,electronic,0.45,fallback,untrusted_fallback
entehno,203,middle_eastern,0.45,fallback,untrusted_fallback
alabama thunderpussy,202,,0.0,,no_primary_family
and clutch. in 2011,202,,0.0,,no_primary_family
damad,202,,0.0,,no_primary_family
early‐2000s underground,202,,0.0,,no_primary_family
fistula,202,,0.0,,no_primary_family
idm,202,electronic,0.45,fallback,untrusted_fallback
lamb of god,202,,0.0,,no_primary_family
mugwart was a sludge,202,,0.0,,no_primary_family
shifty records (sh09,202,,0.0,,no_primary_family
skate scene,202,,0.0,,no_primary_family
sofa king killer,202,,0.0,,no_primary_family
tdr‐13,202,,0.0,,no_primary_family
virginia beach,202,,0.0,,no_primary_family
aggro berlin,199,,0.0,,no_primary_family
reggae en espanol,198,caribbean,0.45,fallback,untrusted_fallback
canzone napoletana,197,,0.0,,no_primary_family
new romantic,196,,0.0,,no_primary_family
highlife,194,african,0.45,fallback,untrusted_fallback
post-britpop,194,pop,0.45,fallback,untrusted_fallback
qawwali,193,middle_eastern,0.45,fallback,untrusted_fallback
guitar,191,,0.0,,no_primary_family
pagode baiano,191,brazilian,0.45,fallback,untrusted_fallback
post-disco,191,,0.0,,no_primary_family
russian drain,191,middle_eastern,0.45,fallback,untrusted_fallback
pop venezolano,190,pop,0.45,fallback,untrusted_fallback
industrial,189,,0.0,,no_primary_family
crossover prog,188,,0.0,,no_primary_family
rif,188,,0.0,,no_primary_family
brostep,187,bass_music,0.45,fallback,untrusted_fallback
california,186,,0.0,,no_primary_family
ccm,184,,0.0,,no_primary_family
disco polo,184,,0.0,,no_primary_family
merseybeat,184,,0.0,,no_primary_family
aggro,183,,0.0,,no_primary_family
ansage,183,,0.0,,no_primary_family
country dreams,183,country_folk,0.45,fallback,untrusted_fallback
shoegaze,183,rock,0.45,fallback,untrusted_fallback
chanson francaise,182,,0.0,,no_primary_family
singeli,182,,0.0,,no_primary_family
bossa nova,181,jazz_blues,0.45,fallback,untrusted_fallback
r&b en espanol,180,rnb_soul,0.45,fallback,untrusted_fallback
big music,178,,0.0,,no_primary_family
brega,177,brazilian,0.45,fallback,untrusted_fallback
smooth soul,177,rnb_soul,0.45,fallback,untrusted_fallback
hip hop soul,176,hip_hop,0.45,fallback,untrusted_fallback
electroclash,174,electronic,0.45,fallback,untrusted_fallback
trap chileno,174,hip_hop,0.45,fallback,untrusted_fallback
cantautor,173,,0.0,,no_primary_family
childrens music,173,,0.0,,no_primary_family
deutschrap,173,hip_hop,0.45,fallback,untrusted_fallback
classic soul,172,rnb_soul,0.45,fallback,untrusted_fallback
swedish electropop,172,electronic,0.45,fallback,untrusted_fallback
turbo folk,172,country_folk,0.45,fallback,untrusted_fallback
drill espanol,171,hip_hop,0.45,fallback,untrusted_fallback
indie poptimism,171,pop,0.45,fallback,untrusted_fallback
dubstep,170,bass_music,0.45,fallback,untrusted_fallback
fotbollslatar,170,,0.0,,no_primary_family
metalcore,169,metal,0.45,fallback,untrusted_fallback
japanese singer-songwriter,168,country_folk,0.45,fallback,untrusted_fallback
flamenco,167,,0.0,,no_primary_family
lofi indie,165,,0.0,,no_primary_family
swedish eurodance,165,,0.0,,no_primary_family
australian indie,164,,0.0,,no_primary_family
contemporary christian,164,gospel_spiritual,0.45,fallback,untrusted_fallback
musicals,164,soundtrack_stage,0.45,fallback,untrusted_fallback
azontobeats,163,african,0.45,fallback,untrusted_fallback
hard alternative,163,,0.0,,no_primary_family
hypertechno,163,techno,0.45,fallback,untrusted_fallback
dakke dak,162,,0.0,,no_primary_family
brega funk,161,brazilian,0.45,fallback,untrusted_fallback
italo dance,161,,0.0,,no_primary_family
boogie,160,,0.0,,no_primary_family
latin talent show,159,,0.0,,no_primary_family
germany,158,,0.0,,no_primary_family
synth funk,158,,0.0,,no_primary_family
the lost generation,158,,0.0,,no_primary_family
uk grime,157,hip_hop,0.45,fallback,untrusted_fallback
video game,157,,0.0,,no_primary_family
dub,155,,0.0,,no_primary_family
